WARON HOSPITAL,,,,,,,,,,Catatan :,
 Jasa Tindakan Operasi,,,,,,,,,,A,"Waktu untuk Tindakan Operasi : Senin - Sabtu, Jam 07.00 - 20.00"
Periode 2025 -2026,,,,,,,,,,B,Biaya jasa tindakan operasi tersebut berlaku untuk tindakan operasi direncanakan (Elektif)
Tindakan dokter anestesi Outpatient/Inpatient diluar operasi,,,,,,,,,,,
Kategori,kelas III,Kelas II,Kelas I,VIP,VVIP,Penthouse,Outpatient,,,,
 , , , , , , , ,,,,
Pain management (PNB preop/postop/OutPatient/PCA),         2.200.000 ,         2.200.000 ,          2.400.000 ,       2.400.000 ,      2.900.000 ,         2.900.000 ,         2.200.000 ,,,,
Intra labour analgesia / Epidural labour analgesia,         2.200.000 ,         2.200.000 ,          2.400.000 ,       2.400.000 ,      2.900.000 ,         2.900.000 ,         2.200.000 ,,,,
Intubation,         2.100.000 ,         2.100.000 ,          2.500.000 ,       2.500.000 ,      2.900.000 ,         2.900.000 ,         2.100.000 ,,,,
Extubation,"  800.000,00 ","  800.000,00 ","  900.000,00 ","  900.000,00 ",      1.000.000 ,         1.000.000 ,"  800.000,00 ",,,,
CVC 1 lumen /cavafix insertion,         1.600.000 ,         1.600.000 ,          1.900.000 ,       1.900.000 ,      2.200.000 ,         2.200.000 ,         1.600.000 ,,,,
CVC 2-3 lumen dewasa,         3.400.000 ,         3.400.000 ,          4.000.000 ,       4.000.000 ,      4.600.000 ,         4.600.000 ,         3.400.000 ,,,,
CVC 2-3 lumen anak dan bayi,         4.000.000 ,         4.000.000 ,          4.300.000 ,       4.300.000 ,      4.700.000 ,         4.700.000 ,         4.000.000 ,,,,
CDL Hemodialisa,         4.000.000 ,         4.000.000 ,          4.300.000 ,       4.300.000 ,      4.700.000 ,         4.700.000 ,         4.000.000 ,,,,
Arterial line,         1.600.000 ,         1.600.000 ,          1.900.000 ,       1.900.000 ,      2.200.000 ,         2.200.000 ,         1.600.000 ,,,,
Infus/NGT ,"  600.000,00 ","  600.000,00 ","  800.000,00 ","  800.000,00 ",      1.200.000 ,         1.200.000 ,"  600.000,00 ",,,,
Narkose untuk tindakan MRI dan Ctscan,         2.200.000 ,         2.200.000 ,          2.600.000 ,       2.600.000 ,      2.900.000 ,         2.900.000 ,         2.200.000 ,,,,
"Narkose untuk tindakan radiologi, Retcam, BERA","  800.000,00 ","  800.000,00 ",          1.100.000 ,       1.100.000 ,      1.200.000 ,         1.200.000 ,"  800.000,00 ",,,,
Pendampingan/backup tindakan radiologi,"  700.000,00 ","  700.000,00 ",          1.000.000 ,       1.000.000 ,      1.200.000 ,         1.200.000 ,"  700.000,00 ",,,,
Tanpa Pain management (PNB preop/postop/OutPatient/PCA),0,0,0,0,0,0,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PEMERIKSAAN OAE SAAT RANAP,,,,,,,,,,,
TINDAKAN, Kelas III, Kelas II, Kelas I, VIP, VVIP, Penthouse,,,,,
OAE (Oto Acoustic Emission),"  520.000,00 ","  530.000,00 ","  540.000,00 ","  550.000,00 ","  560.000,00 ","  570.000,00 ",,,,,
Sewa Alat OAE,"  500.000,00 ","  500.000,00 ","  500.000,00 ","  500.000,00 ","  500.000,00 ","  500.000,00 ",,,,,
Visite dokter THT (Hanya 1 Kali Visite),"  470.000,00 ","  500.000,00 ","  610.000,00 ","  770.000,00 ","  880.000,00 ","  990.000,00 ",,,,,
